ride_type,distance_km,time_of_day,day_type,demand_level,traffic_condition,weather_condition,pickup_zone,base_fare,surge_multiplier,final_fare,ride_timestamp
Taxi,32.27,Afternoon,Weekend,Medium,Light,Clear,IT Park,437.24,1.05,439.7,2025-10-12 00:26:41.069928
Bike,4.23,Evening,Weekday,Medium,Heavy,Cloudy,Residential,45.38,1.2,56.2,2025-08-24 15:18:41.070260
Bike,2.27,Early Morning,Weekday,Medium,Light,Cloudy,Residential,33.62,1.0,34.21,2025-09-25 21:47:41.070474
Taxi,13.8,Afternoon,Weekday,Medium,Light,Clear,Residential,215.6,1.0,209.24,2025-12-25 19:21:41.070663
Taxi,33.96,Early Morning,Weekday,Low,Moderate,Storm,Commercial,457.52,1.15,501.98,2025-09-17 05:16:41.070858
Taxi,2.62,Afternoon,Weekday,Medium,Moderate,Clear,IT Park,81.44,1.0,78.7,2025-09-03 05:28:41.071065
Taxi,38.56,Evening,Weekend,Very High,Heavy,Cloudy,Residential,512.72,1.6,781.55,2025-10-21 08:45:41.071273
Bike,36.67,Night,Weekday,Low,Heavy,Cloudy,Airport,240.02,1.35,330.3,2025-11-17 23:51:41.071467
Bike,3.97,Night,Weekday,Very High,Light,Cloudy,Airport,43.82,1.6,67.43,2025-08-08 20:38:41.071646
Bike,7.99,Afternoon,Weekend,Medium,Heavy,Clear,IT Park,67.94,1.15,79.32,2025-11-27 19:56:41.071818
Taxi,16.46,Afternoon,Weekday,Medium,Heavy,Clear,IT Park,247.52,1.1,262.06,2025-08-27 18:04:41.071993
Bike,37.6,Evening,Weekend,Very High,Heavy,Storm,Commercial,245.6,1.75,431.82,2025-11-20 10:49:41.072171
Bike,36.03,Night,Weekday,High,Light,Storm,IT Park,236.18,1.5,347.55,2025-08-10 06:15:41.072341
Taxi,10.18,Early Morning,Weekday,Medium,Moderate,Clear,Commercial,172.16,1.0,171.86,2026-01-22 22:55:41.072508
Taxi,9.29,Early Morning,Weekday,Low,Light,Cloudy,Residential,161.48,1.0,156.57,2025-11-16 23:21:41.072676
Taxi,20.26,Early Morning,Weekday,Low,Heavy,Clear,IT Park,293.12,1.1,332.01,2025-12-24 13:40:41.072843
Taxi,24.38,Afternoon,Weekday,Low,Light,Clear,Residential,342.56,1.0,357.61,2025-08-09 20:11:41.073016
Taxi,16.09,Night,Weekday,Medium,Light,Rainy,Commercial,243.08,1.23,294.81,2025-11-14 01:36:41.073210
Taxi,10.03,Afternoon,Weekday,High,Moderate,Clear,Residential,170.36,1.2,195.72,2025-12-21 12:45:41.073441
Taxi,26.65,Early Morning,Weekday,Low,Moderate,Rainy,Airport,369.8,1.18,416.73,2026-01-04 18:48:41.073646
Bike,37.74,Morning,Weekday,Medium,Moderate,Clear,Commercial,246.44,1.0,257.6,2026-01-11 14:00:41.073886
Taxi,8.58,Evening,Weekend,Medium,Heavy,Rainy,Airport,152.96,1.43,227.28,2025-11-17 08:00:41.074144
Taxi,47.13,Afternoon,Weekday,Medium,Light,Clear,Metro Station,615.56,1.0,619.4,2025-10-17 23:34:41.074382
Taxi,42.73,Morning,Weekday,Medium,Light,Clear,Residential,562.76,1.0,557.06,2025-12-08 05:56:41.074588
Taxi,3.93,Afternoon,Weekend,Medium,Moderate,Cloudy,Metro Station,97.16,1.05,104.92,2026-01-29 13:11:41.074824
Bike,48.4,Night,Weekday,High,Heavy,Storm,Commercial,310.4,1.6,516.99,2025-10-17 02:43:41.075070
Taxi,22.13,Night,Weekday,Low,Heavy,Cloudy,IT Park,315.56,1.25,393.96,2026-01-04 16:29:41.075292
Taxi,9.26,Evening,Weekday,High,Moderate,Cloudy,Commercial,161.12,1.3,199.8,2025-11-11 13:54:41.075527
Taxi,5.83,Early Morning,Weekday,Low,Moderate,Clear,Metro Station,119.96,1.0,117.89,2025-12-28 02:42:41.075744
Taxi,2.07,Afternoon,Weekday,Low,Heavy,Rainy,Commercial,74.84,1.18,90.26,2025-09-28 10:25:41.075944
Bike,27.46,Night,Weekday,Low,Light,Clear,Residential,184.76,1.15,213.11,2026-01-13 02:09:41.076137
Taxi,25.02,Early Morning,Weekday,Medium,Heavy,Storm,Residential,350.24,1.25,452.91,2025-10-22 20:24:41.076309
Taxi,5.17,Afternoon,Weekday,Medium,Light,Clear,Residential,112.04,1.0,113.69,2025-08-18 11:58:41.076511
Bike,49.59,Morning,Weekend,Medium,Heavy,Clear,Airport,317.54,1.25,403.11,2025-09-26 01:14:41.076684
Bike,22.22,Morning,Weekday,Medium,Light,Rainy,Metro Station,153.32,1.08,161.28,2025-10-14 11:04:41.076857
Bike,19.84,Early Morning,Weekend,High,Moderate,Clear,IT Park,139.04,1.25,173.07,2025-12-06 23:51:41.077025
Taxi,12.88,Morning,Weekend,Very High,Moderate,Clear,Commercial,204.56,1.4,279.17,2025-12-09 17:06:41.077214
Taxi,16.12,Night,Weekday,High,Light,Clear,Metro Station,243.44,1.35,318.11,2025-11-24 07:53:41.077393
Bike,27.06,Night,Weekday,Very High,Light,Clear,Airport,182.36,1.6,277.51,2026-01-24 07:57:41.077560
Taxi,4.77,Afternoon,Weekend,Medium,Moderate,Storm,Commercial,107.24,1.2,125.44,2025-10-15 01:33:41.077727
Taxi,31.54,Night,Weekday,Medium,Light,Rainy,Residential,428.48,1.23,542.99,2025-12-31 17:16:41.078165
Taxi,48.62,Early Morning,Weekend,Medium,Heavy,Clear,IT Park,633.44,1.15,758.01,2026-01-03 16:14:41.078370
Taxi,32.53,Night,Weekday,Medium,Heavy,Storm,IT Park,440.36,1.4,625.87,2025-09-17 02:55:41.078572
Bike,40.92,Night,Weekday,High,Heavy,Cloudy,Commercial,265.52,1.45,383.29,2025-09-28 21:03:41.078745
Taxi,44.63,Evening,Weekend,Medium,Light,Clear,Airport,585.56,1.25,732.48,2025-10-03 18:44:41.078912
Bike,11.1,Evening,Weekday,Medium,Moderate,Cloudy,Residential,86.6,1.1,99.94,2025-08-24 21:47:41.079081
Taxi,20.84,Early Morning,Weekend,Medium,Light,Clear,IT Park,300.08,1.05,311.21,2025-11-09 02:05:41.079247
Taxi,6.22,Morning,Weekend,High,Moderate,Clear,Metro Station,124.64,1.25,156.5,2025-10-23 04:19:41.079416
Taxi,19.89,Afternoon,Weekend,Medium,Moderate,Cloudy,IT Park,288.68,1.05,291.82,2025-09-24 02:01:41.079588
Taxi,6.85,Morning,Weekend,Low,Light,Clear,Airport,132.2,1.15,158.02,2025-11-30 07:14:41.079759
Bike,42.86,Night,Weekend,High,Heavy,Cloudy,Commercial,277.16,1.5,420.71,2025-09-22 23:11:41.079930
Bike,41.73,Night,Weekday,Very High,Moderate,Cloudy,Metro Station,270.38,1.5,418.5,2025-12-31 21:14:41.080099
Bike,30.34,Early Morning,Weekday,Medium,Moderate,Clear,IT Park,202.04,1.0,203.59,2025-12-03 15:55:41.080267
Bike,15.18,Morning,Weekend,High,Light,Clear,Residential,111.08,1.25,143.08,2025-09-04 10:22:41.080437
Taxi,39.77,Evening,Weekend,High,Moderate,Clear,Airport,527.24,1.45,798.86,2026-01-03 09:52:41.080637
Bike,35.33,Night,Weekday,High,Light,Clear,Airport,231.98,1.45,326.22,2026-01-11 22:07:41.080837
Taxi,2.41,Night,Weekend,Low,Heavy,Clear,Airport,78.92,1.4,111.83,2025-10-28 13:26:41.081027
Taxi,23.29,Night,Weekday,High,Light,Storm,Metro Station,329.48,1.5,489.56,2025-09-05 18:40:41.081394
Taxi,4.71,Evening,Weekday,Medium,Moderate,Cloudy,Airport,106.52,1.2,122.26,2025-09-06 03:48:41.081572
Taxi,18.94,Night,Weekday,Low,Moderate,Clear,Airport,277.28,1.25,346.68,2026-01-03 04:00:41.081741
Taxi,36.71,Evening,Weekday,High,Light,Rainy,Metro Station,490.52,1.38,664.74,2025-10-06 10:24:41.081908
Taxi,16.86,Early Morning,Weekday,Low,Heavy,Clear,Commercial,252.32,1.1,266.23,2025-12-04 11:45:41.082092
Bike,49.91,Evening,Weekday,High,Moderate,Cloudy,IT Park,319.46,1.3,395.22,2025-12-09 14:48:41.082262
Taxi,7.0,Morning,Weekend,Medium,Heavy,Clear,Commercial,134.0,1.15,153.21,2025-12-10 02:24:41.082426
Taxi,41.77,Evening,Weekend,Low,Heavy,Cloudy,IT Park,551.24,1.25,720.57,2026-01-03 06:09:41.082595
Taxi,39.0,Early Morning,Weekday,High,Light,Cloudy,IT Park,518.0,1.2,594.63,2025-10-18 08:33:41.082764
Taxi,4.03,Morning,Weekday,High,Light,Clear,Residential,98.36,1.2,113.82,2025-11-02 03:20:41.082928
Bike,1.1,Early Morning,Weekday,Low,Moderate,Clear,Metro Station,26.6,1.0,26.27,2025-11-10 13:34:41.083097
Taxi,30.97,Morning,Weekend,Low,Heavy,Clear,Airport,421.64,1.25,502.17,2026-01-10 00:17:41.083262
Bike,24.77,Afternoon,Weekday,Medium,Moderate,Rainy,Commercial,168.62,1.08,188.98,2025-11-08 12:02:41.083432
Bike,17.14,Night,Weekday,Very High,Heavy,Clear,Metro Station,122.84,1.6,195.73,2025-12-07 02:18:41.083597
Taxi,49.64,Afternoon,Weekend,Medium,Heavy,Clear,Commercial,645.68,1.15,708.07,2025-10-09 05:50:41.083776
Taxi,33.85,Early Morning,Weekday,Medium,Moderate,Clear,Commercial,456.2,1.0,457.08,2025-08-30 19:05:41.083943
Bike,21.13,Night,Weekend,High,Moderate,Rainy,Metro Station,146.78,1.48,207.65,2025-10-02 07:42:41.084109
Bike,27.17,Evening,Weekday,Medium,Light,Clear,Airport,183.02,1.2,225.01,2025-09-07 15:27:41.084281
Bike,30.37,Evening,Weekday,High,Moderate,Cloudy,Metro Station,202.22,1.3,271.07,2025-11-30 09:59:41.084449
Bike,39.6,Morning,Weekday,Medium,Moderate,Storm,Residential,257.6,1.15,307.03,2025-11-02 23:27:41.084614
Taxi,10.11,Evening,Weekend,High,Moderate,Rainy,Metro Station,171.32,1.43,241.72,2026-01-04 22:20:41.084783
Taxi,4.17,Evening,Weekend,Very High,Moderate,Clear,Airport,100.04,1.6,156.48,2026-01-19 08:47:41.084979
Taxi,11.99,Night,Weekend,High,Light,Clear,Airport,193.88,1.5,304.54,2025-10-17 12:51:41.085147
Bike,39.51,Afternoon,Weekend,High,Light,Clear,Commercial,257.06,1.25,324.67,2025-09-05 01:33:41.085344
Bike,17.04,Night,Weekday,High,Heavy,Clear,Commercial,122.24,1.45,178.15,2026-01-07 21:23:41.085514
Taxi,45.03,Night,Weekday,Low,Moderate,Clear,Residential,590.36,1.15,662.19,2025-08-30 14:52:41.085679
Taxi,29.63,Night,Weekend,Low,Moderate,Cloudy,Commercial,405.56,1.2,465.97,2025-10-14 16:13:41.085844
Taxi,5.33,Evening,Weekday,Medium,Moderate,Clear,Commercial,113.96,1.1,121.63,2025-11-05 01:02:41.086014
Taxi,35.2,Early Morning,Weekend,Very High,Light,Clear,Airport,472.4,1.5,690.94,2025-12-21 00:26:41.086202
Bike,23.57,Morning,Weekday,Medium,Moderate,Clear,IT Park,161.42,1.0,153.8,2025-08-19 20:55:41.086399
Bike,19.73,Morning,Weekday,Medium,Light,Rainy,Metro Station,138.38,1.08,156.62,2026-01-15 17:13:41.086567
Bike,37.92,Early Morning,Weekend,High,Moderate,Clear,Airport,247.52,1.35,343.01,2025-12-26 01:42:41.086735
Taxi,40.38,Night,Weekend,Medium,Moderate,Rainy,Airport,534.56,1.38,770.06,2026-01-18 22:23:41.086900
Taxi,10.54,Early Morning,Weekday,Low,Moderate,Rainy,Commercial,176.48,1.08,198.98,2025-12-20 18:03:41.087073
Bike,48.93,Morning,Weekend,Very High,Moderate,Clear,Airport,313.58,1.5,449.66,2026-01-24 22:35:41.087242
Bike,31.73,Morning,Weekday,Very High,Moderate,Clear,Commercial,210.38,1.35,291.44,2025-10-15 23:44:41.087556
Taxi,29.06,Morning,Weekday,Medium,Heavy,Clear,Residential,398.72,1.1,420.83,2025-10-29 06:28:41.087728
Bike,2.14,Afternoon,Weekday,High,Moderate,Storm,Metro Station,32.84,1.35,43.31,2025-08-09 14:02:41.087896
Taxi,19.06,Night,Weekend,Very High,Heavy,Clear,Commercial,278.72,1.65,460.94,2025-12-03 15:16:41.088063
Taxi,12.12,Evening,Weekend,Low,Moderate,Clear,Metro Station,195.44,1.15,223.08,2025-09-01 04:57:41.088241
Taxi,31.07,Early Morning,Weekday,Low,Moderate,Clear,Residential,422.84,1.0,415.43,2025-10-10 02:48:41.088446
Taxi,20.53,Evening,Weekend,Very High,Light,Cloudy,Residential,296.36,1.5,439.62,2025-09-11 21:12:41.088614
Taxi,12.81,Morning,Weekday,Very High,Heavy,Clear,Commercial,203.72,1.45,280.75,2025-11-01 09:22:41.088785
Taxi,41.11,Morning,Weekday,High,Light,Clear,Residential,543.32,1.2,631.35,2025-08-13 09:14:41.088966
Bike,3.02,Evening,Weekday,Very High,Moderate,Cloudy,Residential,38.12,1.45,56.87,2025-12-04 21:18:41.089135
Taxi,42.38,Night,Weekday,Medium,Moderate,Storm,Metro Station,558.56,1.3,742.51,2025-12-25 16:27:41.089303
Taxi,22.81,Evening,Weekend,Medium,Moderate,Clear,Residential,323.72,1.15,377.05,2025-09-06 03:10:41.089476
Bike,9.56,Afternoon,Weekend,Very High,Moderate,Cloudy,Metro Station,77.36,1.4,104.48,2025-10-25 10:43:41.089644
Taxi,13.82,Night,Weekday,Very High,Moderate,Clear,Airport,215.84,1.6,333.35,2025-11-23 06:13:41.089814
Taxi,9.82,Morning,Weekday,Low,Moderate,Clear,Commercial,167.84,1.0,175.35,2025-10-30 20:27:41.089986
Bike,25.9,Evening,Weekend,Medium,Light,Cloudy,Metro Station,175.4,1.15,207.99,2025-08-19 09:27:41.090167
Taxi,16.25,Morning,Weekday,Medium,Moderate,Clear,Metro Station,245.0,1.0,242.72,2025-08-23 02:44:41.090362
Taxi,7.89,Evening,Weekday,Medium,Moderate,Rainy,Residential,144.68,1.18,173.34,2025-10-22 11:33:41.090539
Taxi,19.66,Afternoon,Weekday,Low,Moderate,Clear,Commercial,285.92,1.0,288.99,2025-12-31 02:18:41.090731
Taxi,27.32,Morning,Weekday,Medium,Light,Clear,Residential,377.84,1.0,360.79,2025-10-23 18:50:41.090924
Bike,37.8,Night,Weekday,High,Moderate,Rainy,IT Park,246.8,1.43,355.91,2025-09-30 22:55:41.091124
Bike,14.53,Afternoon,Weekday,Low,Light,Rainy,Residential,107.18,1.08,112.41,2025-09-26 13:05:41.091327
Bike,3.78,Evening,Weekday,High,Light,Cloudy,Residential,42.68,1.3,54.99,2026-01-08 09:03:41.091498
Bike,24.34,Evening,Weekend,Medium,Heavy,Cloudy,Commercial,166.04,1.25,214.73,2025-10-04 02:57:41.091663
Bike,27.2,Early Morning,Weekday,Low,Light,Cloudy,Residential,183.2,1.0,190.42,2025-08-25 21:16:41.091830
Taxi,8.31,Evening,Weekday,Medium,Moderate,Clear,Airport,149.72,1.2,180.29,2025-11-23 04:11:41.092006
Bike,18.63,Morning,Weekend,High,Heavy,Clear,IT Park,131.78,1.35,182.39,2026-01-11 22:31:41.092174
Taxi,33.2,Night,Weekday,Medium,Moderate,Cloudy,Metro Station,448.4,1.15,515.48,2025-11-26 18:09:41.092341
Bike,27.8,Night,Weekend,Medium,Heavy,Clear,IT Park,186.8,1.3,250.62,2025-10-01 09:14:41.092507
Bike,14.62,Evening,Weekend,Medium,Heavy,Clear,Commercial,107.72,1.25,135.66,2025-08-28 07:30:41.092675
Taxi,11.54,Night,Weekday,Medium,Moderate,Clear,Metro Station,188.48,1.15,213.17,2025-12-23 21:43:41.092854
Taxi,10.57,Evening,Weekday,Medium,Heavy,Rainy,IT Park,176.84,1.28,219.58,2025-10-19 09:30:41.093025
Taxi,2.68,Afternoon,Weekend,Medium,Moderate,Clear,Commercial,82.16,1.05,88.64,2025-10-01 16:58:41.093196
Taxi,13.83,Afternoon,Weekday,Low,Moderate,Clear,Residential,215.96,1.0,224.56,2025-10-15 23:34:41.093366
Bike,37.9,Afternoon,Weekday,Low,Light,Clear,Residential,247.4,1.0,239.23,2025-10-12 08:11:41.093533
Bike,17.37,Afternoon,Weekend,Medium,Moderate,Rainy,Commercial,124.22,1.13,136.84,2025-08-21 04:24:41.093702
Taxi,30.7,Early Morning,Weekend,Low,Heavy,Clear,IT Park,418.4,1.15,497.66,2026-01-04 21:40:41.094002
Taxi,32.38,Early Morning,Weekday,High,Moderate,Clear,Residential,438.56,1.2,505.74,2025-09-11 11:50:41.094196
Taxi,42.31,Early Morning,Weekday,Low,Heavy,Cloudy,Commercial,557.72,1.1,593.83,2025-09-08 00:22:41.094366
Taxi,4.58,Evening,Weekday,Very High,Light,Cloudy,Residential,104.96,1.45,157.79,2026-01-30 14:35:41.094537
Taxi,44.86,Early Morning,Weekend,High,Light,Cloudy,Metro Station,588.32,1.25,701.11,2025-09-25 06:48:41.094716
Taxi,32.35,Early Morning,Weekday,High,Moderate,Clear,IT Park,438.2,1.2,532.87,2025-09-10 08:17:41.094889
Bike,34.8,Morning,Weekend,Medium,Heavy,Rainy,Residential,228.8,1.23,274.5,2025-11-16 19:09:41.095056
Taxi,38.77,Morning,Weekday,Low,Moderate,Clear,IT Park,515.24,1.0,523.76,2025-11-19 05:16:41.095223
Taxi,49.57,Morning,Weekday,Medium,Light,Cloudy,Airport,644.84,1.1,684.3,2025-12-30 20:34:41.095416
Bike,38.1,Evening,Weekday,Medium,Light,Cloudy,Airport,248.6,1.2,295.37,2025-11-19 13:13:41.095598
Taxi,8.78,Evening,Weekday,High,Heavy,Clear,Commercial,155.36,1.4,219.66,2025-10-31 20:24:41.095771
Bike,18.39,Morning,Weekend,High,Moderate,Clear,Commercial,130.34,1.25,170.54,2026-01-05 13:28:41.095940
Bike,18.68,Afternoon,Weekday,Low,Moderate,Clear,IT Park,132.08,1.0,131.24,2025-10-19 19:56:41.096108
Taxi,26.42,Morning,Weekday,Medium,Light,Clear,Residential,367.04,1.0,356.35,2025-10-24 04:24:41.096272
Taxi,29.04,Morning,Weekend,High,Heavy,Clear,Residential,398.48,1.35,555.96,2025-12-26 08:05:41.096464
Taxi,11.86,Night,Weekday,Low,Heavy,Cloudy,Residential,192.32,1.25,233.77,2026-02-04 09:47:41.096660
Taxi,35.84,Night,Weekday,Medium,Moderate,Storm,Metro Station,480.08,1.3,633.42,2025-10-27 01:09:41.096836
Taxi,30.97,Evening,Weekday,Very High,Heavy,Clear,Metro Station,421.64,1.55,622.43,2025-12-12 19:01:41.097003
Bike,37.91,Evening,Weekday,High,Light,Rainy,Airport,247.46,1.48,372.87,2025-09-07 07:41:41.097174
Taxi,5.65,Evening,Weekend,Medium,Heavy,Rainy,Airport,117.8,1.43,169.29,2026-01-31 06:56:41.097341
Taxi,7.17,Night,Weekend,Medium,Light,Cloudy,Metro Station,136.04,1.2,162.81,2025-10-15 16:49:41.097509
Taxi,1.9,Early Morning,Weekday,High,Heavy,Rainy,Airport,72.8,1.48,108.7,2026-01-05 09:56:41.097706
Bike,5.98,Morning,Weekday,Medium,Light,Clear,IT Park,55.88,1.0,57.17,2025-12-20 06:37:41.097956
Taxi,15.07,Night,Weekday,Medium,Light,Clear,IT Park,230.84,1.15,265.33,2026-01-20 07:25:41.098158
Taxi,38.62,Evening,Weekday,Medium,Heavy,Clear,Commercial,513.44,1.2,606.42,2025-12-29 11:59:41.098349
Taxi,35.67,Night,Weekday,Low,Moderate,Clear,Commercial,478.04,1.15,555.08,2025-12-26 18:00:41.098592
Bike,9.29,Evening,Weekend,Medium,Heavy,Cloudy,Residential,75.74,1.25,99.29,2026-01-21 17:41:41.098822
Taxi,47.56,Evening,Weekend,High,Light,Clear,Airport,620.72,1.45,856.89,2025-12-15 10:08:41.099036
Bike,2.42,Evening,Weekend,Medium,Light,Clear,Residential,34.52,1.15,38.98,2025-10-12 21:25:41.099262
Bike,13.64,Morning,Weekday,Medium,Heavy,Clear,Residential,101.84,1.1,108.01,2025-09-12 23:42:41.099490
Taxi,18.34,Morning,Weekend,Medium,Light,Clear,Commercial,270.08,1.05,277.47,2025-09-16 20:22:41.099733
Bike,35.37,Afternoon,Weekend,High,Moderate,Clear,Commercial,232.22,1.25,285.83,2025-08-31 03:06:41.099960
Taxi,31.83,Early Morning,Weekend,Very High,Moderate,Clear,IT Park,431.96,1.4,623.43,2025-11-09 05:23:41.100193
Bike,34.98,Early Morning,Weekday,Medium,Heavy,Clear,Commercial,229.88,1.1,241.42,2025-10-20 15:33:41.100419
Bike,43.2,Morning,Weekday,Low,Heavy,Cloudy,Commercial,279.2,1.1,318.95,2025-09-26 11:53:41.100631
Taxi,14.76,Morning,Weekday,Low,Moderate,Clear,Metro Station,227.12,1.0,222.4,2025-08-22 07:20:41.100821
Taxi,21.94,Morning,Weekday,High,Heavy,Clear,IT Park,313.28,1.3,422.45,2025-10-10 23:34:41.101022
Bike,49.81,Morning,Weekend,Medium,Heavy,Cloudy,Commercial,318.86,1.15,367.64,2025-11-30 09:10:41.101227
Taxi,38.84,Evening,Weekday,Very High,Moderate,Rainy,Residential,516.08,1.53,809.2,2025-10-30 09:08:41.101399
Taxi,1.28,Early Morning,Weekday,Low,Moderate,Clear,IT Park,65.36,1.0,67.86,2025-12-07 03:31:41.101568
Taxi,31.16,Evening,Weekday,High,Light,Clear,Metro Station,423.92,1.3,544.27,2026-01-21 07:54:41.101757
Taxi,24.16,Night,Weekday,High,Light,Storm,Residential,339.92,1.5,517.02,2025-10-06 19:21:41.101984
Bike,37.53,Early Morning,Weekday,Medium,Light,Rainy,Airport,245.18,1.18,283.59,2025-09-30 14:42:41.102238
Taxi,25.07,Evening,Weekday,High,Moderate,Clear,Commercial,350.84,1.3,469.9,2026-01-14 12:56:41.102458
